id,name,description,image
adele,Adele,Artist,adele.jpeg
akon,Akon,Artist,akon.jpeg
alan_walker,Alan Walker,Artist,alan_walker.jpeg
alok,Alok,Artist,alok.jpeg
alphaville,Alphaville,Artist,alphaville.jpeg
anri,Anri,Artist,anri.jpeg
arctic_monkeys,Arctic Monkeys,Artist,arctic_monkeys.jpeg
avicii,Avicii,Artist,avicii.jpeg
bee_gees,Bee Gees,Artist,bee_gees.jpeg
billy_idol,Billy Idol,Artist,billy_idol.jpeg
bon_jovi,Bon Jovi,Artist,bon_jovi.jpeg
bonnie_tyler,Bonnie Tyler,Artist,bonnie_tyler.jpeg
bruno_mars,Bruno Mars,Artist,bruno_mars.jpeg
bryan_adams,Bryan Adams,Artist,bryan_adams.jpeg
calcinha_preta,Calcinha Preta,Artist,calcinha_preta.jpeg
calvin_harris,Calvin Harris,Artist,calvin_harris.jpeg
charlie_brown_jr,Charlie Brown Jr,Artist,charlie_brown_jr.jpeg
coldplay,Coldplay,Artist,coldplay.jpeg
conde_do_forro,Conde do Forró,Artist,conde_do_forro.jpeg
cristiano_araujo,Cristiano Araújo,Artist,cristiano_araujo.jpeg
cyndi_lauper,Cyndi Lauper,Artist,cyndi_lauper.jpeg
djavan,Djavan,Artist,djavan.jpeg
dragon_ball_portuguese,Dragon Ball (Portuguese),Playlist,dragon_ball.jpeg
ed_sheeran,Ed Sheeran,Artist,ed_sheeran.jpeg
eminem,Eminem,Artist,eminem.jpeg
europe,Europe,Artist,europe.jpeg
evanescence,Evanescence,Artist,evanescence.jpeg
falamansa,Falamansa,Artist,falamansa.jpeg
george_michael,George Michael,Artist,george_michael.jpeg
gotye,Gotye,Artist,gotye.jpeg
guilherme_arantes,Guilherme Arantes,Artist,guilherme_arantes.jpeg
guns_n_roses,Guns N' Roses,Artist,guns_n_roses.jpeg
gusttavo_lima,Gusttavo Lima,Artist,gusttavo_lima.jpeg
harry_styles,Harry Styles,Artist,harry_styles.jpeg
imagine_dragons,Imagine Dragons,Artist,imagine_dragons.jpeg
jorge_vercillo,Jorge Vercillo,Artist,jorge_vercillo.jpeg
justin_bieber,Justin Bieber,Artist,justin_bieber.jpeg
justin_timberlake,Justin Timberlake,Artist,justin_timberlake.jpeg
keane,Keane,Artist,keane.jpeg
kenny_g,Kenny G,Artist,kenny_g.jpeg
lagum,Lagum,Artist,lagum.jpeg
legiao_urbana,Legião Urbana,Artist,legiao_urbana.jpeg
lewis_capaldi,Lewis Capaldi,Artist,lewis_capaldi.jpeg
linkin_park,Linkin Park,Artist,linkin_park.jpeg
lionel_richie,Lionel Richie,Artist,lionel_richie.jpeg
luan_santana,Luan Santana,Artist,luan_santana.jpeg
mariah_carey,Mariah Carey,Artist,mariah_carey.jpeg
maroon_5,Maroon 5,Artist,maroon_5.jpeg
marshmello,Marshmello,Artist,marshmello.jpeg
michael_jackson,Michael Jackson,Artist,michael_jackson.jpeg
miki_matsubara,Miki Matsubara,Artist,miki_matsubara.jpeg
nando_reis,Nando Reis,Artist,nando_reis.jpeg
naruto,Naruto,Playlist,naruto.jpeg
nirvana,Nirvana,Artist,nirvana.jpeg
nocopyrightsounds,NoCopyrightSounds,Playlist,nocopyrightsounds.jpeg
nx_zero,NX Zero,Artist,nx_zero.jpeg
pablo,Pablo,Artist,pablo.jpeg
paul_young,Paul Young,Artist,paul_young.jpeg
queen,Queen,Artist,queen.jpeg
raca_negra,Raça Negra,Artist,raca_negra.jpeg
radiohead,Radiohead,Artist,radiohead.jpeg
renato_russo,Renato Russo,Artist,renato_russo.jpeg
renno,Renno,Artist,renno.jpeg
rick_astley,Rick Astley,Artist,rick_astley.jpeg
rick_james,Rick James,Artist,rick_james.jpeg
roxette,Roxette,Artist,roxette.jpeg
scorpions,Scorpions,Artist,scorpions.jpeg
sean_kingston,Sean Kingston,Artist,sean_kingston.jpeg
spandau_ballet,Spandau Ballet,Artist,spandau_ballet.jpeg
steven_universe,Steven Universe,Playlist,steven_universe.jpeg
stevie_wonder,Stevie Wonder,Artist,stevie_wonder.jpeg
survivor,Survivor,Artist,survivor.jpeg
tarcisio_do_acordeon,Tarcísio do Acordeon,Artist,tarcisio_do_acordeon.jpeg
tears_for_fears,Tears For Fears,Artist,tears_for_fears.jpeg
the_beatles,The Beatles,Artist,the_beatles.jpeg
the_chainsmokers,The Chainsmokers,Artist,the_chainsmokers.jpeg
the_jackson_5,The Jackson 5,Artist,the_jackson_5.jpeg
the_jacksons,The Jacksons,Artist,the_jacksons.jpeg
the_neighbourhood,The Neighbourhood,Artist,the_neighbourhood.jpeg
the_outfield,The Outfield,Artist,the_outfield.jpeg
the_weeknd,The Weeknd,Artist,the_weeknd.jpeg
twenty_one_pilots,Twenty One Pilots,Artist,twenty_one_pilots.jpeg
usa_for_africa,U.S.A. For Africa,Artist,usa_for_africa.jpeg
whitney_houston,Whitney Houston,Artist,whitney_houston.jpeg
ze_vaqueiro,Zé Vaqueiro,Artist,ze_vaqueiro.jpeg
zedd,Zedd,Artist,zedd.jpeg
